,Epi,Endo,Fibro,Peri,SmoothMuscle,Macro,Mono,DC,TCD4,TCD8,Tgd,NK,B,Plasma,Mast,Granulo
LUM,0.0064367437737593465,0.024740510859449814,3.0655577636406086,0.41809522058591003,0.026295014366453866,0.010386293277509102,0.007375608764209754,0.004196666130587067,0.004210071029726488,0.003468618699912926,0.003595967592479307,0.005482449470878798,0.0032313384621420397,0.0032930281185252364,0.018537326049273127,0.006525552499408567
MSX1,0.025701625311380382,0.13859975214409742,0.021750843740352615,0.027601921262676868,0.0006803163517035533,0.0013858812004328102,0.001082148409525148,0.001301705461854381,0.0014930206177549822,0.0008859856753841984,0.0005956795705124673,0.0015947338434681901,0.000587745806215937,0.0012234189526478642,0.0006428694518308327,0.0009164720427033012
NRP1,0.012832998366510005,0.774942471893096,0.20707267555595002,0.476459124830871,0.18819052138539719,0.6410883586756488,0.18675733369290523,0.06946062992728817,0.002950295017218379,0.0022592380070734133,0.0006111508222593672,0.002503716935498408,0.0016746528030022463,0.0017895932378251718,0.0066490912734972945,0.007125314843602255
OLR1,0.0018371565828416148,0.0052718160240845064,0.011308361773816866,0.004972405964606774,0.002687471636220184,0.39212354752046025,0.808849988047685,0.05749706905541515,0.0035700906891701126,0.005330527813005027,0.0004126714683339901,0.006058627744980679,0.0026601117987544347,0.0013220832657947208,0.0028989123364792668,1.007622522249929
PDGFA,0.12913216617837212,0.13379953122155028,0.053933512882029196,0.6678085064379895,0.29509574601990424,0.019227031322999508,0.006634194784416259,0.010660041486941286,0.022613129207825784,0.013505935436372817,0.00951487404949699,0.006912344792857986,0.0029311377091145842,0.0029963137308095756,0.009018181890174202,0.002321018439999138
PF4,0.022575461987891825,0.001969044460237122,0.0050732665441762526,0.003350747952272373,0.0,0.0018440818622176057,0.002945787022016344,0.0007294958408873067,0.00029777695003941544,0.0007021961129686126,0.0003430721645980837,0.0,0.0005512047899260332,0.00027473066777611706,0.0010088233753058036,0.0034009291233280175
PGLYRP1,9.479415406820339e-05,0.00024872438580634924,0.0,0.0,0.0,0.0,9.394394611112e-05,0.0002955270626526941,0.00025153634664734935,0.00020245898098916417,0.00022560053360765829,0.0,6.45595570642926e-05,8.292352222991321e-05,0.0,0.02510043681628895
POSTN,0.0013258554910734182,0.30308628721391373,1.0242101671123849,0.587904359473116,0.013450076551994913,0.0031430284388631394,0.0018641335411513258,0.0004080342042916506,0.0016661026111491567,0.0015021326561500457,0.001375213591976125,0.0020355549077124085,0.0009814740476163306,0.0008300696309015217,0.0,0.0
PRG2,1.8192238229191156e-05,0.00016709044947515943,0.0003841298980506448,0.0,0.0,2.6191727049864293e-05,3.639012413784057e-05,0.0,0.0,6.636456722455211e-05,0.0,0.0,0.0,5.139150222999894e-06,0.027167153047515564,0.0
PTK2,0.15702222749289074,0.36543042150039784,0.16962484173404654,0.8422768828829629,0.6104405318518702,0.02554733891726788,0.023141926587860625,0.042054604280078275,0.010232665977427412,0.005146551576538297,0.003587939206380885,0.011226889327448914,0.0875948419475908,0.003950821579507698,0.051622048898171194,0.0057145372597381455
S100A4,0.2589303172377873,0.4184569010952927,2.033149724878293,1.815339207247032,2.300277526788208,1.9108219458098425,2.8598601046829053,1.2776358667949326,2.392546966347559,2.35185277102361,1.5869725734576943,1.7531807753560305,0.3074536513451394,0.32947883545942125,2.705902304533285,0.8263811658734683
SERPINA5,0.00018306354315053135,0.005804131701430995,0.020162512624452355,0.0003238024813804447,0.0,9.933004450689023e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.099127849350872e-05,5.384336466412154e-05,0.0,0.0
SLCO2A1,0.037287615000144256,0.8614185966088873,0.004075791935336531,0.0063184635873545555,0.0010116590104414702,0.0010611046756784136,0.0014999429341931152,0.0016781659029770036,0.0014789687005352138,0.0006066472352509601,0.0009990903096837984,0.0,0.0010143868208318699,0.0012085243323722219,0.0029131615211974377,0.0
SPP1,0.04095228719773068,0.17025998206067272,0.058734457081906936,0.1037113898386735,0.02910504566766804,2.0713604698339014,1.2237458692907144,0.10981055493870887,0.07062013326646877,0.08840337369415517,0.04422330714000763,0.09446001088595556,0.044880086533190956,0.01892277727626312,0.05749731689723233,0.7661698032364558
STC1,0.0023061534017563222,0.5252677194261571,0.0966736956564032,0.013545439673881693,0.0,0.0012066640018578154,0.0016772963931916155,0.0003831011512663804,0.00076404303778169,0.0007100969318730914,0.0,0.000409095526330648,0.00027665024238833627,0.0006470230259649967,0.00018889789073558988,0.0
THBD,0.0020760005772770427,0.6624431441748728,0.11121848120662191,0.059670188865475184,0.03529705146237702,0.3641729177185038,0.7267862240601509,0.1859928001079407,0.002789886056886144,0.0034175623434463415,0.0014250568655563916,0.004152787291915344,0.001184390356870205,0.002161090446443183,0.0006837527025960852,0.17080496994480568
TIMP1,0.6151682974180839,1.361334730330403,2.814401344345114,2.7360676083722035,0.9468157785519599,1.1745566408179529,2.730914454310404,0.919858496202264,0.2510618556653082,0.1068211138139721,0.20499693685984766,0.22874504320189165,0.048813034277055065,0.4879222264485807,1.5928879960718387,0.35952812549307156
TNFRSF21,0.1916389310356028,0.029955213378294654,0.12832229486014643,0.1388963890494033,0.00974826497618828,0.26298669199962227,0.06838315894451232,0.1341230387406487,0.004221351945320998,0.0032023138137441103,0.005122319365819257,0.003054034023242841,0.004064150859198904,0.0031370870469970115,0.07934484821973746,0.0025317111492373177
VAV2,0.059980651078595966,0.04393507238943892,0.048200422630249755,0.05515752986320191,0.02394058876607179,0.02867632655417371,0.02501784961135733,0.03864315547580541,0.005401922753922143,0.010904020529254748,0.010555292190916757,0.005042237415370956,0.034911569377942334,0.008243862443333664,0.0010855277300021934,0.005857422696762013
