,ImmuneSignature,StromalSignature,ESTIMATEScore
TCGA-CM-5861-01,1386.0881354241083,-276.0812455217256,1110.0068899023827
TCGA-CM-5862-01,434.47035347350175,810.9569967434472,1245.427350216949
TCGA-CM-5863-01,2208.713302835711,2052.956949079984,4261.670251915695
TCGA-CM-5864-01,1626.4630896811868,31.684481394771865,1658.1475710759587
TCGA-CM-5868-01,1270.5051741418447,1104.4476669405121,2374.952841082357
TCGA-CM-6161-01,2533.2830040350436,1280.268069104548,3813.5510731395916
TCGA-CM-6162-01,4400.380898407382,4388.811873056224,8789.192771463606
TCGA-CM-6163-01,2836.366407315729,1895.5758920827484,4731.942299398477
TCGA-CM-6164-01,1775.84149617217,759.3152097737202,2535.1567059458903
TCGA-CM-6165-01,2386.6011841592153,2179.6561393669435,4566.257323526159
TCGA-CM-6166-01,166.34626085156015,433.5529618101118,599.899222661672
TCGA-CM-6167-01,3150.156631425394,4042.8370728649643,7192.993704290358
TCGA-CM-6168-01,3411.4100548293773,3446.359512783154,6857.769567612531
TCGA-CM-6169-01,4114.58188704297,3640.5708663723653,7755.152753415336
TCGA-CM-6170-01,2260.50091251909,1623.4004858168282,3883.901398335918
TCGA-CM-6171-01,2103.6731810628935,483.639523824153,2587.3127048870465
TCGA-CM-6172-01,1561.5673436225752,1124.4439064967519,2686.011250119327
TCGA-CM-6674-01,2497.8822705066214,1536.0523246104876,4033.934595117109
TCGA-CM-6675-01,1107.5247002465694,94.29052633876927,1201.8152265853387
TCGA-CM-6676-01,803.4513272028507,1016.93750020062,1820.3888274034707
TCGA-CM-6677-01,2149.368873040208,1647.696016386557,3797.064889426765
TCGA-CM-6678-01,679.5395858780012,232.83109929381317,912.3706851718143
TCGA-CM-6679-01,2351.008116771065,2323.109164535468,4674.117281306533
TCGA-CM-6680-01,2759.539142851867,1961.2318830782588,4720.771025930126
TCGA-D5-5537-01,1207.474801151,1015.9552120761255,2223.4300132271255
TCGA-D5-5538-01,3544.588484832382,2405.1381855691834,5949.726670401566
TCGA-D5-5539-01,2541.2036228098423,1959.8643386716285,4501.067961481471
TCGA-D5-5540-01,1216.0302689113869,37.899047023753155,1253.92931593514
TCGA-D5-5541-01,2554.9349030913654,1785.5052926261287,4340.440195717494
TCGA-D5-6529-01,3853.915494296427,2786.737825497199,6640.653319793626
TCGA-D5-6530-01,3305.263601015142,895.4562617728043,4200.719862787946
TCGA-D5-6531-01,2723.3825055178622,1712.3534205118995,4435.735926029762
TCGA-D5-6532-01,959.391762608755,-226.27146791224368,733.1202946965113
TCGA-D5-6533-01,1860.1241197427044,804.120044280804,2664.2441640235083
TCGA-D5-6534-01,5251.962712178043,4647.253232373463,9899.215944551506
TCGA-D5-6535-01,2618.5726613829647,1051.8018631002324,3670.374524483197
TCGA-D5-6536-01,2072.9315978543545,1266.5757276876247,3339.5073255419793
TCGA-D5-6537-01,1230.6737800517276,-789.5512422181291,441.12253783359847
TCGA-D5-6538-01,-284.1674572794709,-659.5022959171129,-943.6697531965838
TCGA-D5-6539-01,2277.691841916745,477.5101402742039,2755.201982190949
TCGA-D5-6540-01,2173.425084738228,602.1904212683203,2775.6155060065485
TCGA-D5-6541-01,3403.22576161335,2779.377193732169,6182.602955345519
TCGA-D5-6898-01,2533.349566562396,2047.7208862071784,4581.070452769574
TCGA-D5-6920-01,2664.185067996137,718.9617381372573,3383.1468061333944
TCGA-D5-6922-01,1921.0345593270577,2301.459632735985,4222.494192063043
TCGA-D5-6923-01,1790.1980420055606,2272.8260128785205,4063.024054884081
TCGA-D5-6924-01,3093.7677611711406,2735.8615506270016,5829.629311798142
TCGA-D5-6926-01,2443.678711038636,2605.356318974029,5049.035030012665
TCGA-D5-6927-01,3448.641977151963,2080.39994960524,5529.041926757203
TCGA-D5-6928-01,6520.024021733152,3869.489033879914,10389.513055613066
TCGA-D5-6929-01,2247.7542757934407,1949.358327007265,4197.112602800706
TCGA-D5-6930-01,3165.011533294286,2062.3428366535936,5227.35436994788
TCGA-D5-6931-01,2818.8638476808155,1555.958374478536,4374.822222159351
TCGA-D5-6932-01,2022.452182564446,1509.907866339905,3532.360048904351
TCGA-D5-7000-01,2323.5967359988354,1466.131309500277,3789.7280454991123
TCGA-DC-4745-01,1694.030365254508,788.1868966846341,2482.217261939142
TCGA-DC-4749-01,1060.6834994938927,-12.473477584075226,1048.2100219098174
TCGA-DC-5337-01,2214.2844437587773,228.20569278419862,2442.490136542976
TCGA-DC-5869-01,1415.7359312420358,1166.0796659065618,2581.8155971485976
TCGA-DC-6154-01,1229.9160131697117,436.4172250968095,1666.3332382665212
TCGA-DC-6155-01,1760.6711757561898,262.65589317812373,2023.3270689343135
TCGA-DC-6156-01,4067.427579827079,3794.567367093019,7861.994946920098
TCGA-DC-6157-01,1270.8328082053922,572.1107290866385,1842.9435372920307
TCGA-DC-6158-01,3153.0851940117536,3310.64767180538,6463.732865817134
TCGA-DC-6160-01,2432.7821154056965,162.91405786928772,2595.696173274984
TCGA-DC-6681-01,1694.0702166586289,1792.6581779532225,3486.7283946118514
TCGA-DC-6682-01,1118.0895179177187,-233.94721318127267,884.142304736446
TCGA-DC-6683-01,1498.2704242108885,1099.6721145185074,2597.942538729396
TCGA-DM-A0X9-01,1651.1879142223315,-15.381868295778986,1635.8060459265525
TCGA-DM-A0XD-01,1020.6088848800573,348.83756790158077,1369.446452781638
TCGA-DM-A0XF-01,1544.5469426761883,625.2141687853145,2169.761111461503
TCGA-DM-A1D0-01,-267.3732794610023,-1416.85188640641,-1684.2251658674122
TCGA-DM-A1D4-01,1138.5427145966332,-1467.4438524598863,-328.9011378632531
TCGA-DM-A1D6-01,-161.06216407839565,-1245.0436593409286,-1406.1058234193242
TCGA-DM-A1D7-01,1222.5772873321985,-75.05541224794251,1147.521875084256
TCGA-DM-A1D8-01,587.1454427208555,-591.760227613895,-4.614784893039541
TCGA-DM-A1D9-01,575.4891457360518,-319.0530892640909,256.4360564719609
TCGA-DM-A1DA-01,853.3882320024131,-702.8877407753189,150.50049122709424
TCGA-DM-A1DB-01,1221.8644390619138,-1418.7130177970557,-196.84857873514193
TCGA-DM-A1HA-01,689.965769903698,-1912.8684452377893,-1222.9026753340913
TCGA-DM-A1HB-01,1039.0652998283858,-161.73150866690412,877.3337911614817
TCGA-DM-A280-01,1333.414161914603,258.14325300551354,1591.5574149201166
TCGA-DM-A282-01,402.15356986723236,84.72304128395444,486.8766111511868
TCGA-DM-A285-01,217.60096296043776,827.4016822224694,1045.0026451829071
TCGA-DM-A288-01,456.31420868639907,-833.3121239702559,-376.99791528385686
TCGA-DM-A28A-01,891.6932781170472,744.6971061325694,1636.3903842496165
TCGA-DM-A28C-01,282.44959902352457,-859.609544441475,-577.1599454179504
TCGA-DM-A28E-01,535.9524186025028,-1389.473334257851,-853.5209156553483
TCGA-DM-A28F-01,995.7274650938052,-606.8741217291135,388.8533433646917
TCGA-DM-A28G-01,960.6119423296241,-417.5822903878525,543.0296519417716
