,CXCL13,VSIG4,CXCL10,MEIS2,FOXP3,ZNF532,CXCR5,CD4,CD8A,CD8B,MS4A1,Global_Cluster,Sub_Cluster
N_T_P0104_00076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125981391472491,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00078,0.0,0.0,0.0,1.769801464923042,0.0,3.2453785955422356,0.0,0.0,0.0,0.0,2.2144837430407813,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00079,0.0,0.0,0.0,2.2328848921316626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malignant cell,hC03_P0411
N_T_P0104_00081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00083,0.0,0.0,0.0,1.6448089417574145,0.0,2.961626815702305,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00084,0.0,0.0,0.0,0.0,0.0,2.5019432635021777,1.969135389190479,0.0,0.0,0.0,0.0,Fibroblast,hF01_Myofib-ACTA2
N_T_P0104_00085,0.0,0.0,0.0,2.359939251272036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00087,0.0,0.0,0.0,0.0,0.0,2.394220621877572,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00088,0.0,0.0,0.0,1.615119493456817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00090,0.0,0.0,0.0,2.8038219303394785,0.0,2.529655754980442,0.0,0.0,0.0,0.0,1.084382937828369,Epithelial cell,hE01_Endothelium-ACKR1
N_T_P0104_00091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00097,0.0,0.0,0.0,1.4630129549594828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00099,0.0,0.0,3.467732412117445,0.0,0.0,0.0,2.8906789332706215,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00101,0.0,0.0,0.0,2.2148575428441584,0.0,1.6438295197497403,0.0,3.19700178218045,0.0,0.0,0.0,Fibroblast,hF02_CAF-FAP
N_T_P0104_00102,0.0,0.0,3.4219966906610595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00103,0.0,0.0,0.0,0.0,0.0,2.592415072144395,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00104,0.0,0.0,0.0,0.0,0.0,2.971866091741269,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00105,0.0,0.0,0.0,0.0,0.0,2.442218485471451,0.0,2.359809945277273,0.0,0.0,0.0,Fibroblast,hF02_CAF-FAP
N_T_P0104_00106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00109,0.0,0.0,0.0,2.031179821174356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00110,0.0,0.0,3.3807855866514154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00111,0.0,0.0,0.0,0.0,0.0,2.519101721306765,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00112,0.0,0.0,0.0,3.237553228911143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00113,0.0,0.0,0.0,0.0,0.0,2.7401268796177556,0.0,0.0,0.0,0.0,0.0,Fibroblast,hF01_Myofib-ACTA2
N_T_P0104_00114,0.0,0.0,0.0,0.0,0.0,2.699597498811787,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00115,0.0,0.0,0.0,1.792070344294422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00121,0.0,0.0,0.0,0.0,0.0,2.154511871456514,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00125,0.0,0.0,0.0,0.0,0.0,2.5455079435844277,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00127,0.0,0.0,0.0,0.0,0.0,3.601215887467366,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00129,0.0,0.0,0.0,1.6888479605108726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE05_Stemlike-LGR5
N_T_P0104_00130,0.0,0.0,0.0,0.0,0.0,2.4447313502102523,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00131,0.0,0.0,0.0,1.7559332552717473,0.0,1.6302928717222527,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE05_Stemlike-LGR5
N_T_P0104_00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6132214297823855,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00137,0.0,0.0,0.0,1.9570401334953251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00139,0.0,0.0,0.0,0.0,0.0,1.6577434049865816,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00141,0.0,0.0,0.0,1.4041230421455404,0.0,2.452503918695226,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00142,0.0,0.0,0.0,1.6617555759312834,0.0,3.002251856765784,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00143,1.3404447655155647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00144,0.0,0.0,0.0,2.1238141648081754,0.0,1.3701852088940671,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00148,0.0,0.0,0.0,0.0,2.0984752975256877,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00150,0.0,0.0,0.0,0.0,0.0,2.31736826365615,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00151,0.0,0.0,0.0,0.0,0.0,2.7455805629365293,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00155,0.0,0.0,0.0,0.0,0.0,2.0842634359336523,0.0,0.0,2.0851372903369922,0.0,1.7510566392124953,Malignant cell,hC03_P0411
N_T_P0104_00156,0.0,0.0,0.0,0.0,0.0,2.6419777010031615,0.0,0.0,0.0,0.0,0.0,Fibroblast,hF01_Myofib-ACTA2
N_T_P0104_00157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malignant cell,hC03_P0411
N_T_P0104_00158,0.0,0.0,0.0,2.4130949389816165,0.0,2.957452443343598,0.0,0.0,0.0,0.0,0.0,Fibroblast,hF02_CAF-FAP
N_T_P0104_00159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00161,0.0,0.0,0.0,1.5505209799436135,0.0,0.0,1.5421155854532143,0.0,0.0,0.0,0.0,Malignant cell,hC03_P0411
N_T_P0104_00162,0.0,0.0,0.0,3.056998292397206,0.0,1.9971915546386663,0.0,0.0,0.0,0.0,0.0,Fibroblast,hF02_CAF-FAP
N_T_P0104_00163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malignant cell,hC03_P0411
N_T_P0104_00164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00165,0.0,0.0,0.0,3.1506809101657667,0.0,2.2679284364655663,0.0,0.0,0.0,0.0,0.0,Malignant cell,hC03_P0411
N_T_P0104_00166,0.0,0.0,0.0,0.0,0.0,1.723472854244698,0.0,0.0,0.0,0.0,0.0,Malignant cell,hC03_P0411
N_T_P0104_00167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.307817649551235,0.0,0.0,0.0,Malignant cell,hC03_P0411
N_T_P0104_00168,0.0,0.0,0.0,1.5359227889553753,0.0,1.0861840712626378,2.5203334637306183,0.0,0.0,0.0,0.0,Epithelial cell,hE01_Endothelium-ACKR1
N_T_P0104_00169,0.0,0.0,0.0,0.0,0.0,3.2912814862565765,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00172,0.0,0.0,0.0,0.0,0.0,2.909608841784319,1.4253904951146672,0.0,0.0,0.0,0.0,Epithelial cell,hE01_Endothelium-ACKR1
