,ImmuneSignature,StromalSignature,ESTIMATEScore
GSM437142,4427.041162221201,1311.1014293107455,5738.142591531947
GSM437143,5542.976373275113,1928.0499900537961,7471.026363328909
GSM437144,4179.331837681215,3666.0538014601825,7845.385639141397
GSM437145,6307.4184286773925,3679.8800511097907,9987.298479787183
GSM437146,5103.35611911191,1651.8343000598707,6755.19041917178
GSM437147,5015.7309735811505,1777.9069649908088,6793.637938571959
GSM437148,5335.421423648158,1234.0113355199683,6569.432759168127
GSM437149,4860.545983086175,3490.9560487450854,8351.50203183126
GSM437150,4203.250266449741,1781.0304992089023,5984.280765658643
GSM437151,4131.944144866224,1984.1636697826434,6116.107814648867
GSM437152,5704.927624296044,3431.7444703859055,9136.67209468195
GSM437153,2654.432363973616,461.22312124731616,3115.655485220932
GSM437154,3789.9095908374693,2285.2340822484766,6075.143673085946
GSM437155,6191.898599634029,4186.90591914194,10378.804518775969
GSM437156,5600.214943994657,2563.6899611586305,8163.9049051532875
GSM437157,5835.717641187775,4445.910384409723,10281.628025597498
GSM437158,3244.4604470683735,1502.8028254621368,4747.26327253051
GSM437159,5124.908018162343,3497.7110922241154,8622.619110386458
GSM437160,4252.33434088371,464.05736613582485,4716.391707019535
GSM437161,6645.948222290579,4325.427015311576,10971.375237602155
GSM437162,4700.599565837363,3109.544365198928,7810.143931036291
GSM437163,5638.171154905072,3832.5182173955654,9470.689372300638
GSM437164,2856.832051883166,1737.5520577243988,4594.384109607565
GSM437165,3445.5545084823298,527.4811005477659,3973.0356090300957
GSM437166,5220.869544309853,3520.653061427158,8741.522605737011
GSM437167,5603.477362161722,2726.842177313687,8330.31953947541
GSM437168,3463.4796405435463,642.9970479137664,4106.476688457313
GSM437169,3284.8743881571136,1653.2049635771527,4938.079351734266
GSM437170,4153.354810259378,3112.384258413418,7265.739068672796
GSM437171,6383.261215267034,4060.19561326638,10443.456828533413
GSM437172,3682.753719843584,2277.3304032208835,5960.084123064467
GSM437173,3868.4151342895784,3156.208105152069,7024.6232394416475
GSM437174,3615.970078953289,3500.178355078757,7116.148434032046
GSM437175,6224.115076671003,4463.443509979428,10687.558586650432
GSM437176,4418.843698851086,1979.289704290688,6398.133403141774
GSM437177,3197.331551936404,2435.7485715256425,5633.080123462047
GSM437178,5823.649814534683,3657.7889452884083,9481.438759823091
GSM437179,2890.360154140897,2048.2965033508353,4938.656657491732
GSM437180,4577.401711162172,3501.0034722240707,8078.405183386243
GSM437181,5984.189915835335,4328.3722484404425,10312.562164275778
GSM437182,3790.7583880248603,3298.903648129337,7089.662036154197
GSM437183,4218.3547404320725,2384.60373999317,6602.958480425243
GSM437184,4797.083097042256,2008.0805925686436,6805.163689610899
GSM437185,3220.9424162012056,1283.203903497615,4504.146319698821
GSM437186,2850.910640160726,1670.0189444105436,4520.9295845712695
GSM437187,5256.401316951058,2928.3304458394196,8184.731762790478
GSM437188,3951.032300482977,2996.0727402410794,6947.105040724056
