TF,n,spearman_rho,p,is_signature_gene,p_fdr_bh,significant_fdr01
ZFPM2,380,0.5811529548349237,1.0494185269963274e-35,False,6.49799951916126e-34,True
GLI1,380,0.5635688254279999,3.102638400653055e-33,False,1.8472631708503573e-31,True
ATF7,380,0.5630484215984185,3.65273811554842e-33,False,2.0942365195810945e-31,True
SOX11,380,0.5607366645052954,7.516362369526711e-33,False,4.155474624295482e-31,True
CPEB1,380,0.5598032789037098,1.0042591881531118e-32,False,5.360666287106955e-31,True
ZNF365,380,0.5539400811302335,6.071434384088831e-32,False,3.1328601421898365e-30,True
HLX,380,0.5537303359927729,6.470835512768431e-32,False,3.231243023795333e-30,True
ZNF135,380,0.5520957492579278,1.0615043418748675e-31,False,5.135027253819672e-30,True
HEYL,380,0.5512983550831431,1.3500711347532651e-31,False,6.333060959388044e-30,True
ZNF154,380,0.545095124172567,8.576310604020302e-31,False,3.9047437691245376e-29,True
MEOX2,380,0.544094682352296,1.1514321729630195e-30,False,5.037511426200224e-29,True
TRPS1,380,0.5440358576895447,1.1715142851628428e-30,False,5.037511426200224e-29,True
ELK3,380,0.5412862530282028,2.6187901782881606e-30,False,1.0752926454319912e-28,True
ZNF835,380,0.5412590630240067,2.639607269148299e-30,False,1.0752926454319912e-28,True
SETBP1,380,0.5395370258899548,4.351936759628491e-30,False,1.7273841292063856e-28,True
TCF7L1,380,0.5331427207422216,2.717324624318337e-29,False,1.0516046296111965e-27,True
ZNF454,380,0.531888990753062,3.873717294068571e-29,False,1.4625644807849141e-27,True
HEY2,380,0.5287630969488993,9.316900602497322e-29,False,3.433943364920442e-27,True
AR,380,0.5271303348036698,1.4682033338347213e-28,False,5.285532001804997e-27,True
ZEB2,380,0.5262414915621774,1.8787099050519564e-28,False,6.609643029591883e-27,True
ZNF512B,380,0.5260965675786983,1.9556353624438176e-28,False,6.727385646806733e-27,True
ZNF843,380,0.5243343717321785,3.1807911809484143e-28,False,1.07040538002351e-26,True
ZNF362,380,0.523310404494128,4.214240421180421e-28,False,1.3880093982951684e-26,True
JAZF1,380,0.5220877074366588,5.889442981548112e-28,False,1.8993453615492662e-26,True
ZNF25,380,0.5219829014078392,6.0604688476539355e-28,False,1.9146134237078149e-26,True
ZBTB46,380,0.5215592367480558,6.803258441247202e-28,False,2.106288813410134e-26,True
TEAD1,380,0.5209644662696841,7.99995445581074e-28,False,2.4282214701166714e-26,True
EBF4,380,0.5173200595763496,2.1441890221266004e-27,False,6.383085781253803e-26,True
KLF17,380,0.5171740511571349,2.230026238998183e-27,False,6.513359656545636e-26,True
KLF8,380,0.5154776568221562,3.513714690591344e-27,False,1.0072648779695185e-25,True
HIC1,380,0.5151780796635855,3.806463382907816e-27,False,1.071346421225691e-25,True
BCL6B,380,0.5149190947007319,4.078869582025761e-27,False,1.1275160916028354e-25,True
ZFHX3,380,0.5126609231011704,7.43347049174426e-27,False,2.018774091442125e-25,True
ERG,380,0.5120161193944284,8.815815373408909e-27,False,2.352910723799481e-25,True
ZBTB47,380,0.5107767325978142,1.2223425901224353e-26,False,3.207095473744966e-25,True
SNAI2,380,0.509504158438665,1.7073431381788876e-26,False,4.40494529650153e-25,True
ZNF677,380,0.5085633141048157,2.1838662273505883e-26,False,5.542008065473297e-25,True
PHF21A,380,0.5080949699898423,2.467850888481441e-26,False,6.070715479679292e-25,True
RARB,380,0.5080906393041618,2.4706400207997118e-26,False,6.070715479679292e-25,True
ZNF418,380,0.5034549335451358,8.202002808869465e-26,False,1.9838594293953016e-24,True
ZNF469,380,0.503365621444615,8.392313710366614e-26,False,1.9986617882534644e-24,True
FOXC2,380,0.5028038611043302,9.693325901255064e-26,False,2.2735255295670968e-24,True
ZBTB4,380,0.49957900997088595,2.2057283413342627e-25,False,5.096220108037969e-24,True
ZIK1,380,0.49914534923957826,2.4619629499012163e-25,False,5.604586244775122e-24,True
ZNF208,380,0.4986206765732427,2.8114924396706434e-25,False,6.307522169000226e-24,True
RUNX1,380,0.49001457047212893,2.402031186053789e-24,False,5.311920394301807e-23,True
PKNOX2,380,0.4897665264555488,2.552944048803192e-24,False,5.566137165559636e-23,True
ZNF578,380,0.4859926048020965,6.412292357658771e-24,False,1.3786428568966357e-22,True
SKI,380,0.4850406598995239,8.074625124849829e-24,False,1.7122629716804843e-22,True
ZNF626,380,0.48460784350748576,8.964685068043604e-24,False,1.875315200720473e-22,True
ZNF676,380,0.48414043872819756,1.0034699400773676e-23,False,2.0711619563196866e-22,True
ETV1,380,0.48201477552839184,1.6720944774752165e-23,False,3.40579243569952e-22,True
MAF,380,0.48180817564348466,1.7568373543289278e-23,False,3.531927564287247e-22,True
SOX17,380,0.47917754548166597,3.28736258260299e-23,False,6.524150356242858e-22,True
EBF1,380,0.4750378775624313,8.71619787368589e-23,False,1.7025108129319942e-21,True
MEF2C,380,0.4749977009949245,8.798505493188599e-23,False,1.7025108129319942e-21,True
MAFB,380,0.4747925099547479,9.230970310894664e-23,False,1.764140992748758e-21,True
PBX1,380,0.47339909159929633,1.2775762035720186e-22,False,2.4118145891822986e-21,True
BACH2,380,0.4733030207191042,1.3064537937567449e-22,False,2.4366150273920978e-21,True
RUNX2,380,0.4707994214274106,2.333386613738574e-22,False,4.300098188175372e-21,True
RORA,380,0.4696792655433053,3.0200831793875155e-22,False,5.500104425519852e-21,True
MEF2A,380,0.46838110261462357,4.0676133316540324e-22,False,7.321703996977259e-21,True
PRRX1,380,0.46654048839733986,6.190923603080961e-22,False,1.1015574410999227e-20,True
ZNF229,380,0.4659660479495028,7.054404233258846e-22,False,1.2409338355778061e-20,True
ZNF467,380,0.4652763722227052,8.248960251457727e-22,False,1.4347629740737708e-20,True
NR3C1,380,0.46140645536622504,1.9713997682221247e-21,False,3.390807601342054e-20,True
EBF3,380,0.45916462212007714,3.249182820535159e-21,False,5.527181325481788e-20,True
FOXS1,380,0.45645028611015265,5.920751590614168e-21,False,9.96230811116384e-20,True
NR2F2,380,0.45402684901387735,1.0071435543951756e-20,False,1.6764066905416469e-19,True
SOX5,380,0.4526340899271234,1.364122334275386e-20,False,2.246448269636487e-19,True
HIVEP2,380,0.45099380531099514,1.9465217154438995e-20,False,3.1718059110601647e-19,True
ZNF660,380,0.44918929870728286,2.871856474631139e-20,False,4.6308685653427115e-19,True
TWIST2,380,0.4489208269573677,3.042329135590206e-20,False,4.855180929787255e-19,True
TAL1,380,0.4461328356914712,5.520368441458756e-20,False,8.719928925896076e-19,True
NPAS3,380,0.44598933431099463,5.691445470855177e-20,False,8.89935109988264e-19,True
LEF1,380,0.4434836920492268,9.674925959929351e-20,False,1.4976785385970636e-18,True
ZNF425,380,0.44334376496703476,9.964593603870066e-20,False,1.5272466236426597e-18,True
FOXN3,380,0.4391966353091676,2.3741113891667376e-19,False,3.6030631670883426e-18,True
POU6F1,380,0.4390559673269978,2.4445544077016594e-19,False,3.673951672934144e-18,True
PURG,380,0.43776483989645065,3.1950599950593394e-19,False,4.7557239157229395e-18,True
GLIS1,380,0.4326395622886036,9.145200650866739e-19,False,1.3482638673849251e-17,True
ZNF281,380,0.4319235196506389,1.0577543879983631e-18,False,1.5447205590768547e-17,True
IKZF4,380,0.43166493908602876,1.1147257446595916e-18,False,1.6127060305916335e-17,True
TWIST1,380,0.43108702456614295,1.2531895455216919e-18,False,1.7962383485810916e-17,True
SOX7,380,0.4304088758576428,1.4373436415934942e-18,False,2.0412917038410355e-17,True
MSC,380,0.4293369776271971,1.7840386791891006e-18,False,2.5106289776224797e-17,True
ZNF727,380,0.42915554552418766,1.850356732373183e-18,False,2.5696200805565602e-17,True
SIX4,380,0.42913195288849454,1.859156647431103e-18,False,2.5696200805565602e-17,True
TBX1,380,0.42722871451591765,2.7227594745941964e-18,False,3.729939528028156e-17,True
ZNF385B,380,0.42667569044274595,3.0405960283974987e-18,False,4.1288093438239717e-17,True
ZNF385D,380,0.42599945011089635,3.479139939318373e-18,False,4.683224892230297e-17,True
ZHX2,380,0.4258771098467979,3.564869327417156e-18,False,4.757256654173929e-17,True
ZNF781,380,0.42511771125176595,4.1454243189850145e-18,False,5.4847152528109426e-17,True
NFATC4,380,0.4249128728604813,4.317330902300705e-18,False,5.663752743018213e-17,True
DLX5,380,0.4239194763207292,5.255617936017173e-18,False,6.836719802482845e-17,True
ZNF354C,380,0.4237598851104517,5.423985680096258e-18,False,6.996941527324173e-17,True
TCF15,380,0.42321445279698433,6.040431853188684e-18,False,7.727759098128994e-17,True
ZNF471,380,0.422668699923685,6.726049395007432e-18,False,8.534364314320906e-17,True
EBF2,380,0.42218863744793705,7.391998617238508e-18,False,9.303100698768464e-17,True
CIC,380,0.42116169121225155,9.041758256137332e-18,False,1.128761433911338e-16,True
MECP2,380,0.42061978685815626,1.0053102167884328e-17,False,1.2449761724707952e-16,True
HAND1,380,0.420535060859491,1.022096730769115e-17,False,1.2557188406591983e-16,True
ZNF423,380,0.4193954202735217,1.2765339883553427e-17,False,1.555964262971709e-16,True
PBX3,380,0.4190411540767404,1.3676282022738855e-17,False,1.6539753571249802e-16,True
MEF2D,380,0.4187180848503442,1.456252665322756e-17,False,1.7475031983873072e-16,True
ZNF385A,380,0.4180296628993739,1.664351666042061e-17,False,1.9818587531023927e-16,True
