sample,cnv,expr_log2,cohort
TCGA-A6-A56B-01,-1,9.502,COAD
TCGA-A6-A5ZU-01,-1,9.854,COAD
TCGA-AA-3489-01,-1,9.833,COAD
TCGA-AA-3492-01,0,8.441,COAD
TCGA-AA-3495-01,-1,7.641,COAD
TCGA-AA-3496-01,-1,8.91,COAD
TCGA-AA-3502-01,0,6.609,COAD
TCGA-AA-3506-01,0,8.273,COAD
TCGA-AA-3511-01,-1,8.621,COAD
TCGA-AA-3526-01,-1,8.635,COAD
TCGA-AA-3655-01,-1,8.383,COAD
TCGA-AA-3660-01,-1,8.854,COAD
TCGA-AA-3662-01,-2,8.984,COAD
TCGA-AA-3663-01,0,6.465,COAD
TCGA-AA-3675-01,0,8.28,COAD
TCGA-AA-3685-01,-1,7.251,COAD
TCGA-AA-3697-01,-1,7.884,COAD
TCGA-AA-3712-01,-1,9.106,COAD
TCGA-AA-3713-01,0,7.612,COAD
TCGA-AA-A01P-01,0,10.27,COAD
TCGA-AA-A01X-01,-1,8.944,COAD
TCGA-AA-A01Z-01,-1,7.639,COAD
TCGA-AA-A02Y-01,0,7.663,COAD
TCGA-AD-5900-01,1,9.06,COAD
TCGA-AD-6548-01,0,9.344,COAD
TCGA-AD-6888-01,-1,6.97,COAD
TCGA-AD-6889-01,0,7.766,COAD
TCGA-AD-6890-01,-1,8.08,COAD
TCGA-AD-6895-01,0,8.791,COAD
TCGA-AD-6899-01,-1,9.819,COAD
TCGA-AD-6901-01,-1,9.681,COAD
TCGA-AD-6963-01,-1,7.639,COAD
TCGA-AD-6964-01,0,9.33,COAD
TCGA-AD-6965-01,-1,8.696,COAD
TCGA-AD-A5EJ-01,0,8.496,COAD
TCGA-AD-A5EK-01,-1,7.97,COAD
TCGA-AM-5820-01,-1,8.448,COAD
TCGA-AM-5821-01,0,9.837,COAD
TCGA-AU-3779-01,-1,8.639,COAD
TCGA-AU-6004-01,0,9.389,COAD
TCGA-AY-5543-01,-1,8.126,COAD
TCGA-AY-6196-01,1,10.43,COAD
TCGA-AY-6197-01,0,7.138,COAD
TCGA-AY-6386-01,0,7.415,COAD
TCGA-AY-A54L-01,-1,7.703,COAD
TCGA-AY-A69D-01,-1,8.173,COAD
TCGA-AY-A71X-01,0,7.514,COAD
TCGA-AY-A8YK-01,-1,7.468,COAD
TCGA-AZ-4313-01,0,7.08,COAD
TCGA-AZ-4315-01,0,7.99,COAD
TCGA-AZ-4323-01,0,10.09,COAD
TCGA-AZ-4614-01,-1,8.447,COAD
TCGA-AZ-4615-01,0,8.704,COAD
TCGA-AZ-4616-01,-1,8.632,COAD
TCGA-AZ-4682-01,-1,7.521,COAD
TCGA-AZ-4684-01,-1,8.689,COAD
TCGA-AZ-5403-01,-1,8.437,COAD
TCGA-AZ-5407-01,-1,6.922,COAD
TCGA-AZ-6598-01,0,8.453,COAD
TCGA-AZ-6599-01,0,6.236,COAD
TCGA-AZ-6600-01,-1,9.166,COAD
TCGA-AZ-6601-01,0,8.807,COAD
TCGA-AZ-6603-01,-1,9.097,COAD
TCGA-AZ-6605-01,-1,10.05,COAD
TCGA-AZ-6606-01,-2,8.335,COAD
TCGA-AZ-6607-01,-1,10.27,COAD
TCGA-AZ-6608-01,-1,8.604,COAD
TCGA-CA-5254-01,-1,9.8,COAD
TCGA-CA-5255-01,0,7.183,COAD
TCGA-CA-5256-01,-1,6.737,COAD
TCGA-CA-5796-01,0,6.76,COAD
TCGA-CA-5797-01,-1,9.03,COAD
TCGA-CA-6715-01,-1,7.753,COAD
TCGA-CA-6716-01,-1,8.915,COAD
TCGA-CA-6717-01,0,9.373,COAD
TCGA-CA-6718-01,0,10.55,COAD
TCGA-CA-6719-01,-1,10.26,COAD
TCGA-CK-4947-01,0,8.413,COAD
TCGA-CK-4948-01,-1,9.072,COAD
TCGA-CK-4950-01,0,7.766,COAD
TCGA-CK-4951-01,0,9.332,COAD
TCGA-CK-4952-01,0,6.98,COAD
TCGA-CK-5912-01,-1,9.245,COAD
TCGA-CK-5913-01,0,8.66,COAD
TCGA-CK-5914-01,-1,8.488,COAD
TCGA-CK-5915-01,-1,7.403,COAD
TCGA-CK-5916-01,0,9.691,COAD
TCGA-CK-6746-01,0,8.37,COAD
TCGA-CK-6747-01,0,8.284,COAD
TCGA-CK-6748-01,-1,9.546,COAD
TCGA-CK-6751-01,0,8.463,COAD
TCGA-CM-4743-01,0,8.073,COAD
TCGA-CM-4744-01,0,8.874,COAD
TCGA-CM-4747-01,-1,8.404,COAD
TCGA-CM-4751-01,-1,9.076,COAD
TCGA-CM-5344-01,-1,9.717,COAD
TCGA-CM-5348-01,1,10.35,COAD
TCGA-CM-5349-01,-1,9.222,COAD
TCGA-CM-5860-01,0,9.198,COAD
TCGA-CM-5861-01,0,9.144,COAD
TCGA-CM-5862-01,-1,7.785,COAD
TCGA-CM-5863-01,0,9.202,COAD
TCGA-CM-5864-01,-1,8.131,COAD
TCGA-CM-5868-01,-1,8.966,COAD
TCGA-CM-6161-01,0,8.804,COAD
TCGA-CM-6162-01,0,9.904,COAD
TCGA-CM-6163-01,-1,8.569,COAD
TCGA-CM-6164-01,-1,8.95,COAD
TCGA-CM-6165-01,-1,8.995,COAD
TCGA-CM-6166-01,-1,8.688,COAD
TCGA-CM-6167-01,0,10.68,COAD
TCGA-CM-6168-01,0,10.32,COAD
TCGA-CM-6169-01,-1,9.544,COAD
TCGA-CM-6170-01,-1,9.204,COAD
TCGA-CM-6171-01,1,8.638,COAD
TCGA-CM-6172-01,-1,8.564,COAD
TCGA-CM-6674-01,0,8.547,COAD
TCGA-CM-6675-01,-1,8.557,COAD
TCGA-CM-6676-01,-1,8.669,COAD
TCGA-CM-6677-01,-2,8.419,COAD
TCGA-CM-6678-01,-1,8.402,COAD
TCGA-CM-6679-01,-1,9.841,COAD
TCGA-CM-6680-01,-1,9.319,COAD
TCGA-D5-5537-01,-1,9.229,COAD
TCGA-D5-5538-01,-1,9.589,COAD
TCGA-D5-5539-01,-1,9.176,COAD
TCGA-D5-5540-01,-1,8.23,COAD
TCGA-D5-5541-01,-1,8.568,COAD
TCGA-D5-6529-01,-1,10.34,COAD
TCGA-D5-6530-01,0,8.587,COAD
TCGA-D5-6531-01,-1,9.163,COAD
TCGA-D5-6532-01,-1,7.576,COAD
TCGA-D5-6533-01,-1,7.963,COAD
TCGA-D5-6534-01,0,10.73,COAD
TCGA-D5-6535-01,-2,8.15,COAD
TCGA-D5-6536-01,-1,9.12,COAD
TCGA-D5-6537-01,0,7.62,COAD
TCGA-D5-6538-01,-1,7.808,COAD
TCGA-D5-6539-01,-1,8.132,COAD
TCGA-D5-6540-01,1,9.115,COAD
TCGA-D5-6541-01,-1,10.44,COAD
TCGA-D5-6898-01,-1,8.904,COAD
TCGA-D5-6920-01,0,8.018,COAD
TCGA-D5-6922-01,-2,9.705,COAD
TCGA-D5-6923-01,-1,10.22,COAD
TCGA-D5-6924-01,-1,9.792,COAD
TCGA-D5-6926-01,-1,10.24,COAD
TCGA-D5-6927-01,0,9.094,COAD
TCGA-D5-6928-01,1,9.927,COAD
TCGA-D5-6929-01,-1,8.831,COAD
TCGA-D5-6930-01,0,8.691,COAD
TCGA-D5-6931-01,0,10.65,COAD
TCGA-D5-6932-01,-1,8.852,COAD
TCGA-D5-7000-01,0,8.894,COAD
TCGA-DM-A0X9-01,0,8.13,COAD
TCGA-DM-A0XD-01,-1,9.458,COAD
TCGA-DM-A0XF-01,-1,8.678,COAD
TCGA-DM-A1D0-01,-1,6.633,COAD
TCGA-DM-A1D4-01,-1,5.958,COAD
TCGA-DM-A1D6-01,-1,7.381,COAD
TCGA-DM-A1D7-01,-1,7.486,COAD
