,Bcell_TLS,CD8T,Endothelial,Epithelial,Fibroblast,Macrophage_TAM,Pericyte
GSM437138,0.09238561750994465,0.01837276572406757,0.2675375916324508,0.32031337464637966,0.2145695797139907,0.04331071897700394,0.043510351796162784
GSM437139,0.06283939210075715,0.06698777174710806,0.21987854690891506,0.31546460963473044,0.10785706633298087,0.15548682061997163,0.07148579265553678
GSM437140,0.17619817715768288,0.13877997422240482,0.16665076594610564,0.40867258320079086,0.04353808821094639,0.029625073730765523,0.03653533753130397
GSM437141,0.07429490455702427,0.17034103045587218,0.10589086458212141,0.35059004781484226,0.109302977642732,0.15597787001395294,0.03360230493345489
GSM437142,0.11875983475882466,0.06021124811331849,0.14484232208739917,0.4211136876588791,0.03621451402595786,0.14414794239998174,0.07471045095563908
GSM437143,0.09650064132741956,0.20614713560468875,0.08552777287896153,0.3473659081201909,0.06605111157026797,0.16576824646261773,0.03263918403585344
GSM437144,0.10181047956075936,0.041896893602192335,0.19495094772193597,0.29803683369010353,0.17021082184671804,0.08073929892562598,0.11235472465266465
GSM437145,0.1359118915013953,0.1405849964390445,0.15492162144701402,0.24578466951426522,0.14759482419122347,0.14672534540462562,0.02847665150243196
GSM437146,0.15287292669632377,0.23071216924197174,0.14263425314590178,0.33788148096775017,0.02037737897906597,0.06554972556879037,0.04997206540019631
GSM437147,0.13340445169606266,0.12926510642274677,0.14440535955743067,0.2917885187853289,0.11277104030484446,0.18007752851669348,0.008287994716893064
GSM437148,0.1415967321546522,0.2186775559778666,0.06865289326465236,0.33354032330931793,0.07812122854068988,0.1471579014927973,0.012253365260023621
GSM437149,0.07371455407433816,0.08692467466228229,0.18408430643076437,0.32613900428622006,0.14659492427050047,0.11814029838074185,0.06440223789515274
GSM437150,0.16144055148687816,0.1552694804201287,0.18681506861896066,0.28708867524561826,0.07977104246362139,0.07574828776880273,0.05386689399598995
GSM437151,0.15124165254158733,0.12844709686422998,0.12391567341826516,0.3471387085031669,0.13429718792501205,0.07739495614163566,0.03756472460610294
GSM437152,0.10105665377524055,0.1475113125014458,0.14910849790547448,0.2847659171727585,0.10447249730282711,0.16083229594608842,0.052252825396164965
GSM437153,0.22484965419033104,0.20810103959912465,0.1550482473924165,0.31199160458979897,0.02107810534529414,0.029519545890900424,0.0494118029921343
GSM437154,0.14507481938517192,0.13693163747692258,0.16530171469802743,0.330469626792805,0.07996868113160072,0.05624782435321212,0.08600569616226031
GSM437155,0.13461779853307934,0.15059584408484614,0.13444386613966366,0.23117598731698646,0.1431172130785673,0.15767280905888942,0.048376481787967746
GSM437156,0.1116739508673311,0.15310708947474283,0.09454889211184099,0.3375221150552367,0.1436790732198377,0.15025902350376014,0.009209855767250464
GSM437157,0.04620258756256796,0.0911681128383917,0.17802581248122148,0.2207546558315061,0.20957961532019206,0.19745441796578675,0.05681479800033386
GSM437158,0.10114318034093206,0.02773821599457754,0.2156703916390821,0.40625747092361353,0.12125057772769755,0.0806672130717363,0.04727295030236099
GSM437159,0.08554927642593438,0.12200634909007173,0.16339787669322953,0.2655188172940303,0.18521171033829228,0.10591478664854784,0.07240118350989387
GSM437160,0.13170178701489788,0.14276228257829288,0.13086706363406744,0.4564278410963405,0.06036046869303903,0.07788055698336245,0.0
GSM437161,0.10009895024822632,0.11349118770001829,0.13829244573475966,0.23827198132307062,0.17622467634581493,0.19575666824960775,0.03786409039850227
GSM437162,0.11876105848979346,0.11410872310921079,0.1791529263463202,0.305549038415541,0.1319307935042638,0.09337430975040006,0.05712315038447061
GSM437163,0.08312729710005345,0.14305618521457894,0.1892586270079494,0.2681646556379035,0.1263779267852572,0.13527660398050184,0.05473870427375575
GSM437164,0.06615969668776361,0.1334937069863524,0.14352719332498934,0.42552543287363626,0.11483962031417552,0.04926430385963241,0.0671900459534505
GSM437165,0.12457758842055805,0.16502252574564485,0.13471979372811468,0.44193582791665664,0.004941227756817216,0.06697962949883626,0.061823406933372425
GSM437166,0.05432506862141929,0.11287466845027985,0.2331538165668569,0.3118333523388767,0.10471021514329391,0.10854706995563713,0.07455580892363627
GSM437167,0.07225657282268523,0.14551387331287302,0.10941813231402121,0.4229084332970841,0.11935216929801333,0.10605438153094711,0.02449643742437614
GSM437168,0.1353727040931251,0.14265786718743537,0.11911793697978998,0.37508246265338385,0.0690490160098894,0.12221221968029577,0.036507793396080485
GSM437169,0.12069527251254829,0.10937801719643005,0.2300325990041655,0.31145363061095094,0.0,0.1255005949475942,0.10293988572831109
GSM437170,0.09552684555328256,0.08281346366108105,0.2223843998590063,0.3026610203995291,0.14455479473606075,0.07865015000089486,0.07340932579014536
GSM437171,0.05152232556106107,0.12513225191904137,0.18867467825197953,0.2907271811301994,0.11389894058766231,0.17440457083397506,0.05564005171608134
GSM437172,0.09512893833331235,0.08133960999824505,0.13153499129297946,0.41914748778378486,0.13243042656863854,0.07879981381474646,0.06161873220829331
GSM437173,0.08412246180768555,0.03706155490376009,0.1474596958083287,0.3452267697001965,0.19575192871010322,0.10910177577178189,0.08127581329814386
