family,cohort,test,n,rho,pvalue,qvalue_fdr_bh,significant_raw_p05,significant_fdr_q05
C_vs_original_CIBERSORT,TCGA,z-score module | CD8T vs CIBERSORT CD8 T cells,288,0.5411992657690444,2.5852755609744658e-23,1.066426168901967e-22,True,True
C_vs_original_CIBERSORT,TCGA,z-score module | Bcell_TLS vs CIBERSORT naive+memory B cells,288,0.2052359035339039,0.0004562511590221,0.0005576403054714555,True,True
C_vs_original_CIBERSORT,TCGA,z-score module | ARGscore vs CIBERSORT M1+M2 macrophages,288,0.1563332650133224,0.0078632206126082,0.008947802766071399,True,True
C_vs_original_CIBERSORT,TCGA,z-score module | ARGscore vs CIBERSORT M2 macrophages,288,0.3637334091552334,1.9494805080409908e-10,3.3859398297554047e-10,True,True
C_vs_original_CIBERSORT,TCGA,z-score module | ARGscore vs CIBERSORT CD8 T cells,288,-0.4043578426498238,9.3637470420017e-13,1.9312728274128504e-12,True,True
C_vs_original_CIBERSORT,TCGA,z-score module | ARGscore vs CIBERSORT naive+memory B cells,288,-0.1152525718481415,0.0507117928673901,0.05578297215412911,False,False
C_vs_original_CIBERSORT,TCGA,NNLS fraction | Macrophage_TAM vs CIBERSORT M1+M2 macrophages,314,0.5642434811343635,8.583452007822264e-28,4.720898604302245e-27,True,True
C_vs_original_CIBERSORT,TCGA,NNLS fraction | CD8T vs CIBERSORT CD8 T cells,314,0.4835406754468018,8.35625825129949e-20,3.063961358809813e-19,True,True
C_vs_original_CIBERSORT,TCGA,NNLS fraction | Bcell_TLS vs CIBERSORT naive+memory B cells,314,0.27668405965258,6.329794452898923e-07,9.081878997637584e-07,True,True
D_MSI_adjusted,GSE39582,Macrophage_TAM (naive),536,0.2269079860448189,1.0935059120598005e-07,3.280517736179402e-07,True,True
D_MSI_adjusted,GSE39582,Macrophage_TAM (MSI-adjusted),536,0.2639294261216239,5.416852396604566e-10,3.2845019029562428e-09,True,True
D_MSI_adjusted,GSE39582,CD8T (naive),536,-0.263861551637209,5.474169838260404e-10,3.2845019029562428e-09,True,True
D_MSI_adjusted,GSE39582,CD8T (MSI-adjusted),536,-0.2534656898767272,2.650131292569806e-09,1.0600525170279225e-08,True,True
D_MSI_adjusted,GSE39582,Bcell_TLS (naive),536,-0.1906612969715199,8.803142875632366e-06,2.112754290151768e-05,True,True
D_MSI_adjusted,GSE39582,Bcell_TLS (MSI-adjusted),536,-0.1835459313883254,1.9040649880513493e-05,3.6033540360115444e-05,True,True
D_MSI_adjusted,TCGA-COAD/READ,Macrophage_TAM (naive),85,0.4217705686925933,5.814517701836004e-05,8.721776552754007e-05,True,True
D_MSI_adjusted,TCGA-COAD/READ,Macrophage_TAM (MSI-adjusted),85,0.4437561070940004,2.1019565210067344e-05,3.6033540360115444e-05,True,True
D_MSI_adjusted,TCGA-COAD/READ,CD8T (naive),85,-0.1192104748876294,0.2771810821132988,0.3125289768982239,False,False
D_MSI_adjusted,TCGA-COAD/READ,CD8T (MSI-adjusted),85,-0.1065272620676177,0.3318692414265307,0.3318692414265307,False,False
D_MSI_adjusted,TCGA-COAD/READ,Bcell_TLS (naive),85,-0.1269298417041235,0.2470283207624643,0.3125289768982239,False,False
D_MSI_adjusted,TCGA-COAD/READ,Bcell_TLS (MSI-adjusted),85,-0.1169435215946844,0.2864848954900386,0.3125289768982239,False,False
