,spearman_rho
S1PR3,0.5694463891378295
PCDHB3,0.5692120298120786
FILIP1L,0.5691222131020567
C1QTNF7,0.5690759720004934
ECM2,0.5688303643555064
MXRA5,0.5683197420641221
LIMS2,0.5680489897665258
WWTR1,0.5680483213938771
DOK5,0.5680303724403968
FLT4,0.5679971298798925
LRRC4C,0.567927153540506
ITGBL1,0.5675414234830721
CDO1,0.5671497622088075
SHANK1,0.5662784464198148
RGMA,0.5662030095578557
UNC5B,0.565519456979842
ISLR,0.5651321365160858
GDF6,0.5650696209316683
HSPB8,0.5648294641719449
LHFP,0.5646679546210681
CSGALNACT2,0.5645712898588042
ODZ3,0.5643924381614782
INHBA,0.5643019639125572
EVC2,0.5637928479930073
CHSY3,0.5636770165799485
GLI1,0.5635688254279999
TENC1,0.5634326371239528
MAP2,0.5634048307144669
HSPB2,0.5633324496336414
FBLN5,0.5630522599515737
ATF7,0.5630484215984185
CACNA1H,0.5629366194350549
GNAO1,0.5627706934181672
GPR1,0.5627433289146938
KLHL38,0.5623812140201218
SPG20,0.5623548497185381
SVIL,0.5623296180410701
EFNB3,0.5622084965965949
VEGFC,0.5618490005484552
ATP1B2,0.5617374944249801
C12orf68,0.5612695577334974
GJC1,0.5609945826600616
ATP8B2,0.5609585730753491
SOX11,0.5607366645052954
DACT1,0.5606793159913492
LZTS1,0.5604883228595097
CPEB1,0.5598032789037098
MYH11,0.5597923203345108
FAT3,0.5597379173161561
FAM180A,0.5595943498876035
ADAMTS5,0.5593817341944477
SLIT3,0.5592397462207159
DFNA5,0.5592223472172155
RHOJ,0.5591365492372553
ADAMTS10,0.559055108639467
CDK14,0.5590329724836703
VIM,0.5589200561308523
TMEM204,0.5588106747849217
DLC1,0.5582336031746357
FZD4,0.5581873878865998
LPHN2,0.558139311105755
PDZRN4,0.557474506570593
PPFIA2,0.5574651459949149
DSEL,0.5570351378145065
CSPG4,0.5567723066902176
BHMT2,0.5567266359943818
SPARCL1,0.5566470440166028
PDLIM3,0.5560681404321665
MPPED2,0.5559750158053217
MYH10,0.555866214549557
FBXO17,0.5556185086256146
ANGPTL2,0.5546770219477215
COL6A2,0.5546324858265368
TGFB3,0.5545982961125179
RBPMS2,0.5545856542080851
TIMP3,0.5542923894838042
GAS1,0.5542307294035562
CORO2B,0.5541929799279605
FAM43B,0.5541149271099949
ZNF365,0.5539400811302335
COL12A1,0.5539264265733359
PTH1R,0.5537916281681097
SUSD5,0.5537496785222482
HLX,0.5537303359927729
GUCY1A3,0.5534806799656206
MMRN2,0.553251173819089
LATS2,0.5532279738016234
RBMS3,0.5524402816762142
LAYN,0.552157179034399
ZNF135,0.5520957492579278
ELOVL4,0.5520831784267074
PCDH10,0.5519029354734544
TIE1,0.5518787647902877
ITGB3,0.5516778769337345
HEYL,0.5512983550831431
CPXM2,0.551254695804688
B4GALNT1,0.5509267396953931
WHAMML2,0.5508362439774358
RAB31,0.550779372963086
APCDD1L,0.5507028038236003
SLC45A1,0.5505397061106303
MRGPRF,0.5504531088442153
TPM2,0.5504245109807342
APLP1,0.5496581318124707
SEPT4,0.5496063342555023
HTR2A,0.549430089571306
FAM101B,0.5494155442276112
FGF14,0.5491969207613425
FAM20C,0.5485838584379698
FHL1,0.5485597316428418
COL11A1,0.5485487707457071
TMEM59L,0.5483846505391443
PCDHB18,0.548293374636313
DCLK1,0.548072604423824
FAP,0.5480108506412474
ACTN1,0.5479617639915725
BMPR2,0.5476872355474297
ADAMTS16,0.5476509168873591
CNIH3,0.547412558952214
OSMR,0.5473822596802449
CHST3,0.5471581298428997
TTC28,0.5468818025342306
HTRA1,0.5467838104023445
CAMSAP1L1,0.5466708050631772
POPDC2,0.5466648099672582
NRP1,0.5465382004157829
MFRP,0.5462786591347812
LRRC32,0.5461948524346694
GPR133,0.545820825492002
GIPC3,0.5456491122180215
ARMCX1,0.5454614342673791
DGKI,0.5454308211094014
ZNF154,0.545095124172567
LRCH2,0.5449795156248061
COL10A1,0.5449357470291479
GLT8D2,0.5444934121093795
PDE1A,0.5442340324808338
ARMCX2,0.5441159682724138
MEOX2,0.544094682352296
RAB34,0.5440489687584349
PCDHGA3,0.5440439150179012
TRPS1,0.5440358576895447
ADAMTS12,0.5437676918690663
KIF26B,0.543727749750395
LOXL1,0.5430356959902841
GREM1,0.5428449288452933
LYNX1,0.5425465103144352
SYNPO,0.5422652183221207
SCN2B,0.5422287324650816
COPZ2,0.5420233107554804
KIAA1614,0.541794774953781
GPC6,0.5417699738321549
CPT1C,0.5416400704652793
COLEC12,0.5413229391755329
ELK3,0.5412862530282028
ZNF835,0.5412590630240067
COL1A1,0.540771044054041
